,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
713,Startup,https://angel.co/company/fullcontour-1,FullContour,"
FullContour. You scan, We Design
",2013-09-01,Phoenix,Product Design,1-10,Seed,950000,fullcontour.com,6.734246575342466,141069.9755899105,0,0,5.0
714,Startup,https://angel.co/company/instafit,InstaFit,"
#1 fitness app in Latam. We hook users on working out twice as effectively as a gym
",2013-08-01,Mexico City,Fitness,11-50,Seed,870000,instafit.com,6.8191780821917805,127581.3579750904,0,0,25.0
715,Startup,https://angel.co/company/entac-medical,Entac Medical,"
Late-stage medical device for predictive and diagnostic medicine
",2013-11-01,Memphis,Medical Devices,1-10,Series A,830000,entacmedical.com,6.567123287671233,126387.15060492282,0,0,5.0
716,Startup,https://angel.co/company/likeminder,Likeminder,"
The social network for your private life
",2013-10-01,New York City,Corporate Wellness,1-10,Seed,850000,likeminder.net,6.652054794520548,127780.06589785832,0,0,5.0
717,Startup,https://angel.co/company/avhana-health,Avhana Health,"
A Smart Assistant in the Electronic Health Record
",2014-02-01,Baltimore,Electronic Health Records,1-10,Seed,800000,avhana.com,6.315068493150685,126681.12798264642,0,0,5.0
719,Startup,https://angel.co/company/veep-nutrition,VEEP Nutrition,"
Functional food targeting
",2014-08-01,Irvine,Fitness,,Seed,925000,veep.com,5.8191780821917805,158957.15630885123,0,0,
720,Startup,https://angel.co/company/disease-diagnostic-group,Disease Diagnostic Group,"
Diagnostic tests for malaria
",2014-10-01,Boston,Diagnostics,1-10,Seed,827000,diseasediagnostic.com,5.652054794520548,146318.4682501212,0,0,5.0
721,Startup,https://angel.co/company/horus-technology,Horus Technology,"
Wearable personal assistant for the blind and visually impaired
",2014-09-01,Milan,Computer Vision,1-10,Seed,900000,horus.technology,5.734246575342466,156951.74390826563,0,0,5.0
722,Startup,https://angel.co/company/enlightiks,Enlightiks,"
Self Service Predictive Analytics
",2014-10-01,Palo Alto,Predictive Analytics,11-50,Seed,935000,enlightiks.com,5.652054794520548,165426.56325739215,0,0,25.0
723,Startup,https://angel.co/company/active-global-specialised-caregivers,Active Global Specialised Caregivers,"
Professional, Affordable Home Care in Asia
",2015-02-01,Singapore,Hong Kong,51-200,Seed,900000,activeglobalcaregiver.com,5.315068493150685,169329.8969072165,0,0,125.0
724,Startup,https://angel.co/company/umbie-dentalcare,Umbie DentalCare,"
We deliver office management, practice accountability,  and patient engagement solutions
",2011-11-01,East Hartford,Mobile Health,1-10,-,685000,umbiedentalcare.com,8.56986301369863,79931.26598465473,0,0,5.0
725,Startup,https://angel.co/company/docasap,DocASAP,"
Book timely doctor appointments online 24x7
",2012-01-01,Herndon,Curated Web,11-50,Seed,799998,docasap.com,8.402739726027397,95206.80469514184,0,0,25.0
726,Startup,https://angel.co/company/digidoctor,DigiDoctor,"
The Salesforce for healthcare. SaaS Patient Relationship Management
",2012-04-01,Louisville,Customer Service,1-10,Seed,750000,digidoctor.com,8.153424657534247,91985.8870967742,0,0,5.0
727,Startup,https://angel.co/company/kinergy-health,Kinergy Health,"
Better care coordination & chronic care management with technology + care navigator model
",2012-12-01,-,Health Care Information Technology,1-10,Seed,800000,kinergyhealth.com,7.484931506849315,106881.40556368961,0,0,5.0
728,Startup,https://angel.co/company/nursebuddy,NurseBuddy,"
Coordinate healthcare at home
",2013-05-01,Tampere,Mobile Health,1-10,Seed,888000,nursebuddy.co,7.071232876712329,125579.23285548238,0,0,5.0
729,Startup,https://angel.co/company/i7-networks,i7 Networks,"
100% Agentless Enterprise Mobility Tool
",2014-02-01,Bengaluru,High Tech,1-10,-,750000,i7nw.com,6.315068493150685,118763.55748373103,0,0,5.0
730,Startup,https://angel.co/company/protocolsioplatform,protocols.io,"
The #1 platform for designing and publishing science methods
",2013-04-01,Berkeley,Biotechnology,11-50,Seed,780000,protocols.io,7.153424657534247,109038.68249712753,0,0,25.0
731,Startup,https://angel.co/company/beckoncall,BeckonCall,"
Zendesk meets Slack for doctors. No more pagers or fax machines
",2015-06-01,Phoenix,Unifed Communications,1-10,Closed,800000,BeckonCall.com,4.986301369863014,160439.56043956042,0,0,5.0
732,Startup,https://angel.co/company/body-details,Body Details,"
Permanent Hair & Tattoo Removal, Guaranteed for life
",2013-05-01,Miami,Personal Health,1-10,Seed,750000,BodyDetails.com,7.071232876712329,106063.54126307633,0,0,5.0
733,Startup,https://angel.co/company/melon,"Melon (Acquired by DAQRI, 2015)","
A Brain-Sensing (EEG) Headband and Mobile App to Measure Your Focus
",2017-03-01,Los Angeles,Neuroscience,1-10,Acquired,750000,thinkmelon.com,3.2356164383561645,231795.08890770533,0,0,5.0
734,Startup,https://angel.co/company/angelmd,angelMD,"
Equity Crowdfunding for Medical Startups
",2013-07-01,Seattle,Medical Devices,11-50,Seed,750000,angelmd.co,6.904109589041096,108630.95238095238,0,0,25.0
735,Startup,https://angel.co/company/yilaime,Yilaime,"
China’s next Shanghai and Tmall too!
",2013-10-01,Las Vegas,Hospitals,1-10,Seed,750000,usaexportstochina.com,6.652054794520548,112747.11696869852,0,0,5.0
736,Startup,https://angel.co/company/cell-machines-1,Cell Machines,"
High efficiency production of human therapeutic proteins
",2014-01-01,Houston,Therapeutics,1-10,Seed,700000,cellmachines.net,6.4,109375.0,0,0,5.0
737,Startup,https://angel.co/company/truclinic,TruClinic,"
Video communication for healthcare, telemedicine made easy
",2014-03-01,Salt Lake City,Mobile Health,1-10,-,720000,truclinic.com,6.238356164383561,115415.01976284586,0,0,5.0
738,Startup,https://angel.co/company/cubii,Cubii,"
Smart Under-Desk Elliptical
",2014-10-01,Chicago,Fitness,11-50,Seed,693000,mycubii.com,5.652054794520548,122610.27629665536,0,0,25.0
739,Startup,https://angel.co/company/headsuphealth,Heads Up Health,"
Personalized Health Analytics
",2014-10-01,Scottsdale,Quantified Self,1-10,Seed,800000,headsuphealth.com,5.652054794520548,141541.44449830343,0,0,5.0
740,Startup,https://angel.co/company/near-infrared-imaging,Near Infrared Imaging,"
Vein illumination and visualization
",2015-07-01,Wrentham,Healthcare,-,Seed,800000,nearinfraredimaging.com,4.904109589041096,163128.49162011172,0,0,
741,Startup,https://angel.co/company/red-mind-solutions,Red Mind Solutions,"
Vastly improved healthcare intervention services
",2015-07-01,Tampa,Data,1-10,Seed,758000,redmindinc.com,4.904109589041096,154564.24581005587,0,0,5.0
742,Startup,https://angel.co/company/innovere-medical-2,Innovere Medical,"
We make MRIs comfortable and enjoyable
",2015-08-01,Markham,Medical Devices,11-50,Seed,710000,innovereMedical.com,4.8191780821917805,147328.02728823197,0,0,25.0
743,Startup,https://angel.co/company/charge-running,Charge Running,"
Live Running Classes for any level
",2017-02-01,Chicago,Fitness,11-50,Seed,675000,chargerunning.com,3.3123287671232875,203784.11910669977,0,0,25.0
744,Startup,https://angel.co/company/datagenno,DataGenno,"
Portal for health care professionals and patients
",2011-03-01,Chicago,Pharmaceuticals,1-10,Seed,600000,datagenno.com,9.241095890410959,64927.364364067595,0,0,5.0
745,Startup,https://angel.co/company/improve,Improve,"
Online Marketplace for Fitness & Tennis Training
",2011-11-01,Austin,Fitness,11-50,Seed,650000,fitnesstrainer.com,8.56986301369863,75847.18670076727,0,0,25.0
746,Startup,https://angel.co/company/nudge-5,Nudge,"
Klout for Health Tracking
",2013-08-01,Richmond,Mobile Health,1-10,Seed,600000,nudgeyourself.com,6.8191780821917805,87987.14343109683,0,0,5.0
747,Startup,https://angel.co/company/klinify,klinify,"
Digital Medical Assistant 
",2013-02-01,Singapore,Mobile Health,11-50,Acquired,605000,klinify.com,7.315068493150685,82705.99250936329,0,0,25.0
748,Startup,https://angel.co/company/activeprotective-1,ActiveProtective,"
Preventing hip fractures in the elderly
",2013-03-01,Philadelphia,Medical Devices,1-10,Seed,600000,activeprotective.com,7.238356164383561,82891.74867524602,0,0,5.0
749,Startup,https://angel.co/company/image32,image32,"
A disruptive approach to medical image sharing
",2013-03-01,Menlo Park,Cloud Computing,1-10,Acquired,600000,image32.com,7.238356164383561,82891.74867524602,0,0,5.0
750,Startup,https://angel.co/company/tinehealth,Tine Health,"
Reducing hospital errors with AR based on demand instructions at the point of care
",2013-09-01,San Francisco,Augmented Reality,1-10,Seed,650000,tinehealth.com,6.734246575342466,96521.56224572823,0,0,5.0
751,Startup,https://angel.co/company/cerora-1,Cerora,"
Device & Software Platform for Brain Injury Detection
",2014-01-01,Bethlehem,Medical Devices,1-10,Seed,655000,cerora.com,6.4,102343.75,0,0,5.0
752,Startup,https://angel.co/company/myhint,myHINT,"
A tool to increase insurance sales
",2013-11-01,New Brunswick,Health and Insurance,1-10,Seed,600000,myhint.co,6.567123287671233,91364.20525657071,0,0,5.0
753,Startup,https://angel.co/company/mylab,myLAB Box,"
Your personal lab in a box. First nationwide at home testing-to-treatment platform
",2014-02-01,Los Angeles,Testing,1-10,Seed,590000,mylabbox.com,6.315068493150685,93427.33188720174,0,0,5.0
755,Startup,https://angel.co/company/zakipoint-health,zakipoint health,"
improve value from healthcare program spend for self-funded employers
",2014-02-01,Cambridge,Big Data Analytics,1-10,Seed,610000,zakipointhealth.com,6.315068493150685,96594.36008676789,0,0,5.0
756,Startup,https://angel.co/company/yomp-1,Yomp,"
B2B employee-engagement in Health & Wellbeing
",2014-03-01,London,Corporate Wellness,1-10,Seed,655000,yomp.co,6.238356164383561,104995.60825647782,0,0,5.0
757,Startup,https://angel.co/company/fitgofun,FitGoFun,"
Game-oriented mobile fitness program
",2014-04-01,San Francisco,Fitness,1-10,Seed,575000,FitGoFun.com,6.153424657534247,93443.90026714158,0,0,5.0
758,Startup,https://angel.co/company/mdops-1,MDOps,"
Siri for a Physician
",2016-02-01,Melville,Artificial Intelligence,1-10,Seed,620000,MDOps.com,4.315068493150685,143682.53968253967,0,0,5.0
759,Startup,https://angel.co/company/fitbod,Fitbod,"
Data-Driven Fitness
",2015-10-01,San Francisco,Fitness,11-50,Seed,645000,fitbod.me,4.652054794520548,138648.40989399294,0,0,25.0
760,Startup,https://angel.co/company/bluewavetech,BLUEWAVE Technologies,"
Fast. Simple. Safe
",2015-12-01,Gainesville,Medical Devices,1-10,Seed,615000,bluewave.tech,4.484931506849315,137125.83995113012,0,0,5.0
761,Startup,https://angel.co/company/unified-practice,Unified Practice,"
",2016-07-01,New York City,Alternative Medicine,11-50,Seed,650000,unifiedpractice.com,3.9013698630136986,166608.14606741574,0,0,25.0
762,Startup,https://angel.co/company/pivotal-innovation-1,Pivotal Innovation,"
Empowering Companies to Accelerate Innovation Performance
",2016-10-01,Denver,Manufacturing,1-10,Seed,575000,pivotalinnovation.com,3.649315068493151,157563.81381381382,0,0,5.0
763,Startup,https://angel.co/company/imagebiopsy-lab,ImageBiopsy Lab,"
Health AI for assessing bone disease 
",2017-03-01,Vienna,Medical Technologies,-,Seed,650000,imagebiopsy.com,3.2356164383561645,200889.0770533446,0,0,
765,Startup,https://angel.co/company/autobike,AutoBike,"
Evolving the bicycle
",2012-02-01,Detroit,Fitness,1-10,-,563000,evolvethebike.com,8.317808219178081,67686.10013175232,0,0,5.0
766,Startup,https://angel.co/company/clickcare,ClickCare,"
Simple, secure, spectacular hybrid store and forward telemedicine
",2012-03-01,Binghamton,mHealth,1-10,Seed,500000,clickcare.com,8.238356164383562,60691.71932158297,0,0,5.0
767,Startup,https://angel.co/company/bettrlife,BettrLife,"
",2013-09-01,Des Moines,Corporate Wellness,1-10,-,550000,bettrlife.com,6.734246575342466,81672.09113100081,0,0,5.0
768,Startup,https://angel.co/company/clinicast,CliniCast,"
Manage Cost and Enhance Quality of Cancer Care
",2012-05-01,San Francisco,Risk Management,1-10,-,500000,clinicast.net,8.07123287671233,61948.40461642905,0,0,5.0
769,Startup,https://angel.co/company/oriental-medway,Oriental Medway,"
chinese herb,acupuncture
",2013-03-01,New Castle,Personal Health,1-10,Seed,500000,orientalmedway.com,7.238356164383561,69076.45722937169,0,0,5.0
770,Startup,https://angel.co/company/you-app,Fifth Corner Inc.,"
Wellbeing and performance coaching for modern organizations
",2013-03-01,Helsinki,B2B,1-10,Seed,550000,fifthcornerinc.com,7.238356164383561,75984.10295230887,0,0,5.0
771,Startup,https://angel.co/company/healthcentrix,HealthCentrix - Prevvy.co,"
Connected Health Ecosystem beyond the clinic
",2013-07-01,San Francisco Bay Area,Mobile Health,1-10,Seed,530000,healthcentrix.com,6.904109589041096,76765.87301587302,0,0,5.0
772,Startup,https://angel.co/company/scanalytics-1,Scanalytics,"
Consumer behavior analytics
",2013-09-01,Milwaukee,Retail Technology,1-10,-,520000,scanalyticsinc.com,6.734246575342466,77217.24979658259,0,0,5.0
773,Startup,https://angel.co/company/at-peak-resources,At Peak Resources,"
Digital Health and Wellness
",2013-11-01,New York City,Teenagers,1-10,Seed,500000,atpeaksports.com,6.567123287671233,76136.83771380893,0,0,5.0
774,Startup,https://angel.co/company/simplicity-health-systems,Simplicity Health Systems,"
IFTTT or Zapier for Healthcare
",2014-01-01,Dallas,Mobile Health,1-10,Seed,500000,simplicityhealthsystems.com,6.4,78125.0,0,0,5.0
775,Startup,https://angel.co/company/deliverlean,DeliverLean,"
Healthy chef prepared meal delivery
",2014-04-01,Miami,Corporate Wellness,51-200,Seed,525000,deliverlean.com,6.153424657534247,85318.34372217275,0,0,125.0
776,Startup,https://angel.co/company/mobio-interactive,Mobio Interactive,"
Effective and Accessible Healthcare for Every Human
",2014-06-01,Singapore,Mobile Health,1-10,Seed,550000,midigitaltherapeutics.com,5.986301369863014,91876.43020594965,0,0,5.0
777,Startup,https://angel.co/company/ringmd,RingMD,"
Our mission is to bring healthcare online & improve access to affordable health services
",2014-05-01,Singapore,Internet of Things,51-200,Seed,500000,ring.md,6.071232876712329,82355.59566787003,0,0,125.0
778,Startup,https://angel.co/company/special-learning-inc,"Special Learning, Inc.","
We educate educators and parents on how to successfully teach kids with Autism
",2015-02-01,Chicago,K-12 Education,11-50,Seed,575000,special-learning.com,5.315068493150685,108182.98969072165,0,0,25.0
780,Startup,https://angel.co/company/cm-technology,CM Technology,"
Integrated Scheduling System for Hospitals, Clinics and Labs
",2014-11-01,Belo Horizonte,Online Scheduling,1-10,Seed,525000,cmtecnologia.com.br,5.567123287671233,94303.64173228346,0,0,5.0
781,Startup,https://angel.co/company/training-amigo,Training Amigo,"
Helping organizations automate and simplify managing people, culture and wellbeing
",2015-02-01,Tampa,B2B,1-10,Seed,562500,trainingamigo.com,5.315068493150685,105831.18556701031,0,0,5.0
782,Startup,https://angel.co/company/kericure-3,KeriCure,"
Nanoparticle Drug delivery platform technology
",2015-09-01,Tampa,Medical Devices,,Seed,500000,kericure.com,4.734246575342466,105613.42592592593,0,0,
783,Startup,https://angel.co/company/zenklub,Zenklub,"
The place where people unlock their full potential
",2016-03-01,Lisbon,Health and Wellness,11-50,Seed,500000,zenklub.com.br,4.235616438356164,118046.57179818889,0,0,25.0
